ward_id,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
78,10637,28435,25655,5493,4237,126,40336,13754,18720,16335,2385,15545,35370,25.43,5.09,34.61,10.16,8.07,65.39
79,9235,24125,20178,4837,3389,270,32345,11958,15677,12848,2829,12630,28626,26.99,4.8,35.39,10.92,8.26,64.61
80,7124,17364,13730,3610,3168,395,19758,11336,11148,9804,1344,9509,19946,36.46,4.36,35.85,11.61,11.46,64.15
81,10211,21131,20370,2947,726,21,32823,8678,18812,17193,1619,16626,22689,20.91,4.06,45.33,7.1,1.8,54.67
82,9994,19782,19056,2583,817,50,30753,8085,17357,14773,2584,14346,21481,20.82,3.89,44.69,6.65,2.23,55.31
83,5176,11113,11050,1171,42,0,17976,4187,9123,8405,718,8253,13040,18.89,4.28,41.16,5.28,0.19,58.84
84,4420,9783,9447,1187,699,10,15464,3766,8629,7480,1149,7158,10601,19.58,4.35,44.87,6.17,3.69,55.13
85,6402,15059,14507,1700,488,15,24576,4990,13157,11966,1191,11771,16409,16.88,4.62,44.5,5.75,1.7,55.5
86,4921,9724,9471,1051,1284,78,16259,2936,8219,7089,1130,6908,10976,15.3,3.9,42.82,5.48,7.1,57.18
87,3227,6285,6390,544,71,1,10950,1725,5391,4875,516,4723,7284,13.61,3.93,42.53,4.29,0.57,57.47
88,6109,11996,11676,1651,364,12,18738,4934,10372,9548,824,9379,13300,20.84,3.87,43.82,6.97,1.59,56.18
89,5819,11395,10909,1334,692,25,19376,2928,10039,8024,2015,7683,12265,13.13,3.83,45.01,5.98,3.21,54.99
90,4761,9255,9602,1131,1467,185,14997,3860,8399,7617,782,7212,10458,20.47,3.96,44.54,6.0,8.76,55.46
91,9995,18967,19483,2167,1480,23,32861,5589,15962,14067,1895,13796,22488,14.54,3.85,41.51,5.64,3.91,58.49
92,10177,17865,18585,1791,1065,45,32417,4033,14237,12716,1521,12465,22213,11.06,3.58,39.06,4.91,3.05,60.94
93,11871,22176,22188,2798,1798,60,37950,6414,18701,16384,2317,15871,25663,14.46,3.74,42.15,6.31,4.19,57.85
94,7121,13918,13551,1847,1450,47,22831,4638,11527,10677,850,10575,15942,16.88,3.86,41.96,6.72,5.45,58.04
95,7651,13212,13525,1314,561,26,24306,2431,10208,8894,1314,8687,16529,9.09,3.49,38.18,4.91,2.2,61.82
96,8893,15357,15676,1488,453,69,28533,2500,11743,10663,1080,10455,19290,8.06,3.49,37.84,4.79,1.68,62.16
97,10222,18613,18586,2073,1251,208,33230,3969,15205,12715,2490,12383,21994,10.67,3.64,40.87,5.57,3.92,59.13
98,8904,15406,16302,1721,705,19,28859,2849,11890,10836,1054,10581,19818,8.99,3.56,37.5,5.43,2.28,62.5
99,7222,13305,13434,1519,745,271,24158,2581,10493,9283,1210,9063,16246,9.65,3.7,39.24,5.68,3.8,60.76
100,7269,12386,13121,1341,324,72,23195,2312,9477,8270,1207,7989,16030,9.06,3.51,37.15,5.26,1.55,62.85
101,10934,19831,20377,2526,2907,91,35933,4275,15311,13654,1657,13406,24897,10.63,3.68,38.08,6.28,7.46,61.92
102,5867,10624,10879,1321,880,16,18877,2626,8449,7311,1138,7096,13054,12.21,3.67,39.29,6.14,4.17,60.71
103,7105,12499,12929,1363,3284,21,22806,2622,10255,8643,1612,8355,15173,10.31,3.58,40.33,5.36,13.0,59.67
104,9224,16385,16800,1795,1108,21,30144,3041,12436,11170,1266,10961,20749,9.16,3.6,37.47,5.41,3.4,62.53
105,5639,10609,10658,1226,2725,10,18811,2456,8461,7524,937,7379,12806,11.55,3.77,39.78,5.76,12.86,60.22
106,10558,20466,20152,2894,7653,59,35071,5547,16751,14249,2502,13819,23867,13.66,3.85,41.24,7.12,18.99,58.76
107,13518,27977,26283,4129,7320,329,45146,9114,22045,19821,2224,19252,32215,16.8,4.01,40.63,7.61,14.1,59.37
108,15854,33428,31349,7204,20923,928,46487,18290,26447,22507,3940,21665,38330,28.24,4.09,40.83,11.12,33.73,59.17
109,16238,32460,32107,5575,15581,197,50435,14132,26883,23271,3612,22578,37684,21.89,3.98,41.64,8.63,24.44,58.36
110,7628,13681,13789,1894,3432,124,23363,4107,11061,9783,1278,9617,16409,14.95,3.6,40.27,6.89,12.95,59.73
111,10156,19656,18991,2545,1294,136,33705,4942,14893,12949,1944,12650,23754,12.79,3.81,38.54,6.59,3.7,61.46
112,8373,16309,16095,2345,1325,170,27804,4600,12569,11024,1545,10803,19835,14.2,3.87,38.79,7.24,4.61,61.21
113,8508,16721,16754,2439,1460,181,28608,4867,12941,11356,1585,11134,20534,14.54,3.93,38.66,7.29,4.9,61.34
114,10958,21093,20820,3077,2946,60,35392,6521,15912,14182,1730,13670,26001,15.56,3.82,37.96,7.34,7.17,62.04
115,8461,16001,15918,1867,615,22,28710,3209,13110,11268,1842,11061,18809,10.05,3.77,41.07,5.85,2.0,58.93
116,6897,14495,13843,2352,1147,28,22585,5753,11227,10475,752,10272,17111,20.3,4.11,39.62,8.3,4.15,60.38
117,5226,11121,10703,1742,721,26,17376,4448,9337,8475,862,8268,12487,20.38,4.18,42.78,7.98,3.42,57.22
118,5433,10897,10913,1468,621,41,18315,3495,8315,7721,594,7555,13495,16.02,4.01,38.12,6.73,3.04,61.88
119,4081,8319,8172,1009,315,66,14559,1932,6370,5599,771,5507,10121,11.72,4.04,38.63,6.12,2.31,61.37
120,5249,9662,10048,1151,534,43,17102,2608,7701,7097,604,6976,12009,13.23,3.76,39.07,5.84,2.93,60.93
121,7712,14919,15002,2023,1132,47,25627,4294,12276,10705,1571,10527,17645,14.35,3.88,41.03,6.76,3.94,58.97
122,9977,19906,19292,2797,1128,85,33810,5388,15371,13552,1819,13187,23827,13.75,3.93,39.21,7.14,3.09,60.79
123,9425,17727,17659,2174,1807,228,31026,4360,13571,12037,1534,11730,21815,12.32,3.75,38.35,6.14,5.75,61.65
124,10128,19352,19827,2839,6954,85,33632,5547,14805,12222,2583,11983,24374,14.16,3.87,37.79,7.25,17.97,62.21
125,11297,22611,22239,3282,2062,119,38451,6399,16876,14656,2220,14243,27974,14.27,3.97,37.63,7.32,4.86,62.37
126,8247,15756,15875,1983,2203,85,27803,3828,11880,10554,1326,10240,19751,12.1,3.84,37.56,6.27,7.23,62.44
127,11221,21920,21862,3225,4781,61,37238,6544,16745,14482,2263,14123,27037,14.95,3.9,38.25,7.37,11.06,61.75
128,8405,16041,16138,2011,972,439,27957,4222,11855,10441,1414,10140,20324,13.12,3.83,36.84,6.25,4.38,63.16
129,10206,19797,19857,2686,1261,159,34217,5437,15287,12805,2482,12501,24367,13.71,3.89,38.55,6.77,3.58,61.45
130,6150,11327,11900,1206,350,20,21040,2187,8851,7783,1068,7590,14376,9.42,3.78,38.11,5.19,1.59,61.89
131,8284,15480,15431,1951,1285,122,27073,3838,11937,10277,1660,9848,18974,12.42,3.73,38.62,6.31,4.55,61.38
132,6722,13320,12954,1862,1077,79,22043,4231,10740,9127,1613,8939,15534,16.1,3.91,40.88,7.09,4.4,59.12
133,5306,13294,12294,2409,667,49,19349,6239,9278,7857,1421,7656,16310,24.38,4.82,36.26,9.41,2.8,63.74
134,6281,18730,17050,3951,674,18,23474,12306,11829,10162,1667,9648,23951,34.39,5.7,33.06,11.04,1.93,66.94
135,5911,17553,15705,3536,153,1,22513,10745,11248,9680,1568,9034,22010,32.31,5.63,33.82,10.63,0.46,66.18
136,4485,11022,10460,2034,1286,25,16532,4950,7228,6505,723,6182,14254,23.04,4.79,33.65,9.47,6.1,66.35
137,3373,10507,8878,2318,73,34,13511,5874,6243,5361,882,4335,13142,30.3,5.75,32.21,11.96,0.55,67.79
138,4629,15581,13277,3575,29,0,19890,8968,10786,9774,1012,5995,18072,31.08,6.23,37.38,12.39,0.1,62.62
139,6937,22225,19789,5240,0,0,28523,13491,15017,12355,2662,7133,26997,32.11,6.06,35.74,12.47,0.0,64.26
140,5004,16074,14430,3889,1730,37,21273,9231,11744,9935,1809,5400,18760,30.26,6.1,38.5,12.75,5.79,61.5
141,7755,21452,19700,5383,3079,16,26880,14272,14647,12186,2461,9570,26505,34.68,5.31,35.59,13.08,7.52,64.41
