ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
48,Ward 48,5,22.569231,88.363052,20437,0.2457,83179.0,0.0,0.0,0.0,0.0,477,1941.0,4671,11128,9309,964,277,10,15975,4462,10702,8682,2020,7525,9735,21.83,4.38,52.37,4.72,1.4,47.63
49,Ward 49,5,22.56972,88.368236,19416,0.2583,75168.0,0.7,0.0,0.0018,0.0,527,2040.0,3965,13511,5905,667,810,3,12283,7133,12036,11104,932,10979,7380,36.74,4.9,61.99,3.44,4.19,38.01
50,Ward 50,5,22.564221,88.366027,17251,0.3836,44971.0,2.63,0.0,0.0101,0.0,399,1040.0,3791,9087,8164,889,297,16,14513,2738,7434,6525,909,6218,9817,15.87,4.55,43.09,5.15,1.81,56.91
51,Ward 51,6,22.564335,88.361457,13556,0.2988,45368.0,7.7,0.0,0.023,0.0,452,1513.0,3273,7164,6392,718,906,48,11941,1615,5705,4905,800,4799,7851,11.91,4.14,42.08,5.3,7.04,57.92
52,Ward 52,6,22.56012,88.35647,16869,0.2388,70641.0,0.0,0.0,0.0,0.0,206,863.0,3304,10205,6664,1289,355,27,13427,3442,7104,6690,414,6443,9765,20.4,5.11,42.11,7.64,2.26,57.89
53,Ward 53,6,22.558785,88.362036,25598,0.3449,74219.0,2.2,0.0,0.0076,0.0,379,1099.0,5405,13862,11736,1670,536,37,21412,4186,10460,8599,1861,8159,15138,16.35,4.74,40.86,6.52,2.24,59.14
54,Ward 54,6,22.556044,88.367444,36235,0.3768,96165.0,0.0,0.0,0.0,0.0,474,1258.0,6666,18937,17298,3365,550,11,26986,9249,13381,11813,1568,11282,22854,25.53,5.44,36.93,9.29,1.55,63.07
55,Ward 55,6,22.558479,88.371927,32254,0.9791,32942.0,2.74,1.14,0.0268,0.0112,836,854.0,6745,17450,14804,2502,924,52,25243,7011,12189,10689,1500,10371,20065,21.74,4.78,37.79,7.76,3.03,62.21
56,Ward 56,7,22.556818,88.378832,43622,0.678,64339.0,0.0,1.52,0.0,0.0103,457,674.0,8941,23018,20604,3426,1356,59,34379,9243,16780,14028,2752,13477,26842,21.19,4.88,38.47,7.85,3.24,61.53
57,Ward 57,7,22.555716,88.401221,49856,2.7367,18218.0,0.16,30.17,0.0043,0.8257,1753,641.0,11051,26142,23714,4414,4143,37,36444,13412,20646,17351,3295,16471,29210,26.9,4.51,41.41,8.85,8.38,58.59
58,Ward 58,7,22.542414,88.40684,88465,10.8132,8181.0,0.65,9.24,0.0699,0.9991,2721,252.0,20093,46207,42258,9277,20125,684,58873,29592,34445,29336,5109,27481,54020,33.45,4.4,38.94,10.49,23.52,61.06
59,Ward 59,7,22.544029,88.379744,70261,1.944,36142.0,0.36,4.51,0.007,0.0877,1872,963.0,15157,36341,33920,6660,785,155,51132,19129,27731,23822,3909,22803,42530,27.23,4.64,39.47,9.48,1.34,60.53
60,Ward 60,6,22.549314,88.368248,35732,0.5821,61385.0,2.23,0.0,0.013,0.0,716,1230.0,6755,18964,16768,3304,264,39,26457,9275,13273,11259,2014,10751,22459,25.96,5.29,37.15,9.25,0.85,62.85
61,Ward 61,6,22.548857,88.361671,29704,0.6428,46210.0,0.02,0.0,0.0001,0.0,612,952.0,5447,15954,13750,2678,573,13,21768,7936,10846,9261,1585,8821,18858,26.72,5.45,36.51,9.02,1.97,63.49
62,Ward 62,6,22.555288,88.360589,34832,0.3881,89750.0,0.85,1.65,0.0033,0.0064,471,1214.0,6400,18736,16096,3395,115,23,27049,7783,12614,11038,1576,10589,22218,22.34,5.44,36.21,9.75,0.4,63.79
63,Ward 63,7,22.549455,88.347418,24387,3.8004,6417.0,28.41,2.63,1.0796,0.0998,924,243.0,4674,14292,10095,1376,282,42,19419,4968,10924,9897,1027,9786,13463,20.37,5.22,44.79,5.64,1.33,55.21
64,Ward 64,7,22.541842,88.366255,31280,0.8517,36727.0,11.62,0.34,0.099,0.0029,984,1155.0,6342,16652,14628,2755,246,11,24307,6973,12124,10525,1599,10028,19156,22.29,4.93,38.76,8.81,0.82,61.24
65,Ward 65,7,22.534267,88.369661,72427,1.3328,54342.0,0.01,1.1,0.0001,0.0147,1958,1469.0,14092,38317,34110,6400,3798,29,53744,18683,27244,24096,3148,23115,45183,25.8,5.14,37.62,8.84,5.28,62.38
66,Ward 66,7,22.533166,88.385591,98024,1.9088,51354.0,0.19,6.45,0.0037,0.1232,3292,1725.0,20797,51138,46886,11526,2599,143,70021,28003,34821,30195,4626,29020,63203,28.57,4.71,35.52,11.76,2.8,64.48
67,Ward 67,7,22.523303,88.380533,56284,1.8359,30657.0,0.3,4.55,0.0055,0.0835,3668,1998.0,13631,28910,27374,4060,3449,252,46753,9531,23116,20498,2618,20135,33168,16.93,4.13,41.07,7.21,6.58,58.93
68,Ward 68,8,22.522617,88.369032,20724,0.9284,22322.0,0.28,0.28,0.0026,0.0026,1611,1735.0,4812,10434,10290,1036,704,5,17888,2836,8625,8080,545,7898,12099,13.68,4.31,41.62,5.0,3.42,58.38
69,Ward 69,8,22.532703,88.358994,44111,2.0176,21863.0,1.55,0.58,0.0313,0.0117,1573,780.0,9615,22906,21205,3283,1959,76,35139,8972,19528,16589,2939,15931,24583,20.34,4.59,44.27,7.44,4.61,55.73
70,Ward 70,8,22.536214,88.350283,18618,0.8327,22359.0,1.12,0.0,0.0093,0.0,996,1196.0,3879,9750,8868,935,485,30,16657,1961,7520,7073,447,6994,11098,10.53,4.8,40.39,5.02,2.77,59.61
