ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2
95,Ward 95,10,22.490457,88.362099,26737,1.0085,26512.0,2.22,0.79,0.0224,0.008,2673,2650.0
96,Ward 96,10,22.490291,88.367748,31033,1.1272,27531.0,1.6,2.8,0.018,0.0316,3053,2708.0
97,Ward 97,10,22.488427,88.346063,37199,1.9345,19229.0,25.83,0.75,0.4996,0.0146,2637,1363.0
98,Ward 98,10,22.479083,88.360236,31708,1.1617,27294.0,0.75,0.73,0.0087,0.0085,2598,2236.0
99,Ward 99,10,22.481604,88.370146,26739,0.9105,29367.0,0.0,2.05,0.0,0.0187,2128,2337.0
100,Ward 100,10,22.471409,88.370914,25507,1.4061,18140.0,0.95,1.29,0.0134,0.0182,2980,2119.0
101,Ward 101,12,22.477393,88.382609,40208,1.6768,23979.0,0.91,3.17,0.0153,0.0531,3867,2306.0
102,Ward 102,12,22.489928,88.375575,21503,0.9856,21817.0,0.04,2.03,0.0004,0.02,1628,1652.0
103,Ward 103,11,22.489584,88.384032,25428,0.9546,26637.0,0.04,1.93,0.0004,0.0184,2037,2134.0
104,Ward 104,11,22.49768,88.385022,33185,1.189,27910.0,0.64,1.09,0.0076,0.013,1913,1609.0
105,Ward 105,12,22.505288,88.381297,21267,0.6676,31856.0,0.73,4.46,0.0049,0.0298,882,1321.0
106,Ward 106,12,22.504403,88.392651,40618,1.9118,21246.0,2.88,1.31,0.0551,0.0251,2892,1513.0
107,Ward 107,12,22.520242,88.39311,54260,2.7008,20090.0,5.14,2.39,0.1389,0.0645,4182,1548.0
108,Ward 108,12,22.51654,88.445047,64777,11.9464,5422.0,7.48,29.75,0.8939,3.5541,3249,272.0
109,Ward 109,12,22.487807,88.402442,64567,7.0971,9098.0,3.76,5.78,0.2669,0.4102,6272,884.0
110,Ward 110,11,22.471959,88.39425,27470,1.7514,15685.0,2.13,7.27,0.0373,0.1273,2716,1551.0
111,Ward 111,11,22.45945,88.370578,38647,2.4266,15926.0,0.35,2.79,0.0086,0.0677,4390,1809.0
112,Ward 112,11,22.46586,88.363444,32404,1.6094,20134.0,0.15,0.28,0.0024,0.0045,2826,1756.0
113,Ward 113,11,22.466669,88.352518,33475,1.6523,20260.0,1.7,0.59,0.0281,0.0097,2965,1794.0
114,Ward 114,11,22.468053,88.343464,41913,2.3085,18156.0,0.17,1.2,0.0039,0.0278,3952,1712.0
115,Ward 115,13,22.48,88.341952,31919,1.4732,21666.0,0.6,4.31,0.0088,0.0635,2976,2020.0
116,Ward 116,13,22.494641,88.334016,28338,1.2224,23182.0,0.13,4.11,0.0016,0.0503,1295,1059.0
117,Ward 117,13,22.502638,88.336795,21824,0.7318,29822.0,0.18,6.53,0.0013,0.0478,996,1361.0
118,Ward 118,13,22.505542,88.328293,21810,0.8484,25707.0,0.0,0.39,0.0,0.0033,1932,2277.0
119,Ward 119,13,22.506298,88.322378,16491,0.6289,26222.0,5.04,0.78,0.0317,0.0049,1163,1849.0
120,Ward 120,13,22.497558,88.322027,19710,0.6951,28356.0,0.0,1.88,0.0,0.0131,1494,2149.0
121,Ward 121,14,22.491192,88.325838,29921,1.4765,20265.0,5.36,2.9,0.0791,0.0428,2818,1909.0
122,Ward 122,13,22.477437,88.331627,39198,3.1571,12416.0,0.31,8.34,0.0099,0.2634,4567,1447.0
123,Ward 123,16,22.47742,88.317383,35386,1.8954,18669.0,0.27,2.53,0.0051,0.0479,4284,2260.0
124,Ward 124,16,22.466881,88.315056,39179,2.5474,15380.0,0.0,1.19,0.0,0.0304,5481,2152.0
125,Ward 125,16,22.466476,88.302216,44850,2.8824,15560.0,0.0,2.1,0.0,0.0606,5125,1778.0
126,Ward 126,16,22.470197,88.292292,31631,2.9603,10685.0,0.52,1.97,0.0155,0.0582,3669,1239.0
127,Ward 127,14,22.479461,88.285149,43782,3.4251,12783.0,1.0,3.21,0.0344,0.1099,4392,1282.0
128,Ward 128,14,22.48845,88.300487,32179,1.8381,17507.0,0.03,1.58,0.0005,0.0291,3454,1879.0
129,Ward 129,14,22.496737,88.300946,39654,2.113,18767.0,0.72,0.87,0.0152,0.0184,4268,2020.0
130,Ward 130,14,22.497489,88.312625,23227,1.0378,22381.0,0.07,1.8,0.0007,0.0187,3135,3021.0
131,Ward 131,14,22.509027,88.301788,30911,1.4124,21885.0,0.11,1.66,0.0015,0.0234,3386,2397.0
132,Ward 132,14,22.510346,88.310559,26274,0.917,28652.0,0.34,3.48,0.0031,0.0319,2275,2481.0
133,Ward 133,15,22.541741,88.286971,25588,0.5085,50321.0,0.0,0.31,0.0,0.0016,19,37.0
134,Ward 134,15,22.544782,88.292092,35780,0.3821,93640.0,0.0,0.0,0.0,0.0,0,0.0
135,Ward 135,15,22.547215,88.286084,33258,0.3347,99367.0,0.0,0.84,0.0,0.0028,1,3.0
136,Ward 136,15,22.543597,88.280637,21482,0.5297,40555.0,0.0,5.32,0.0,0.0282,4,8.0
137,Ward 137,15,22.550363,88.279635,19385,0.625,31016.0,0.0,0.0,0.0,0.0,1,2.0
138,Ward 138,15,22.547748,88.269645,28858,0.8084,35698.0,0.0,0.0,0.0,0.0,3,4.0
139,Ward 139,15,22.540481,88.268258,42014,1.6156,26005.0,0.0,0.71,0.0,0.0115,1,1.0
140,Ward 140,15,22.545266,88.260635,30504,1.5474,19713.0,0.0,0.0,0.0,0.0,0,0.0
141,Ward 141,15,22.550704,88.249654,41152,2.6091,15772.0,0.0,0.69,0.0,0.018,30,11.0
